Tanggal;Hybrid BiLSTM CNN (Rp);BiLSTM (Rp);CNN (Rp)
23-Oct-25;7187.07;7195.86;7159.03
24-Oct-25;7203.95;7183.76;7160.4
27-Oct-25;7215.55;7171.46;7176.62
28-Oct-25;7232.14;7160.4;7189.11
29-Oct-25;7225.97;7150.01;7210.05
30-Oct-25;7229.47;7140.75;7220.55
31-Oct-25;7219.53;7130.52;7205.97
03-Nov-25;7202.67;7120.08;7197.84
04-Nov-25;7191.55;7109.2;7178.16
05-Nov-25;7167.69;7097.33;7161.42
06-Nov-25;7147.35;7085.9;7157.72
07-Nov-25;7127.14;7074.68;7157.57
10-Nov-25;7101.12;7063.95;7129.57
11-Nov-25;7087.63;7054.58;7110.46
12-Nov-25;7082.1;7044.84;7098.17
13-Nov-25;7082.17;7034.89;7089.14
14-Nov-25;7077.07;7024.19;7071.88
17-Nov-25;7075.26;7013.89;7057.27
18-Nov-25;7067.87;7003.19;7040.25
19-Nov-25;7054.58;6993.17;7032.54
20-Nov-25;7048.97;6984.1;7034.58
21-Nov-25;7041.67;6975.3;7024.72
24-Nov-25;7030.42;6967.39;7005.37
25-Nov-25;7023.2;6960.47;6986.11
26-Nov-25;7027.29;6953.69;6975.42
27-Nov-25;7027.42;6945.81;6969.2
28-Nov-25;7029.11;6938.09;6965.34
01-Dec-25;7023.48;6930.06;6958.81
02-Dec-25;7012.41;6922.4;6948.33
03-Dec-25;7007.06;6915.28;6937.48
