Hari Ke;Informer CNN LSTM (Rp);Informer CNN (Rp);CNN (Rp);Informer (Rp);Informer_LSTM (Rp);LSTM (Rp)
1;7258.11;7216.81;7194.65;7331.0;7278.28;7253.22
2;7274.31;7225.72;7190.1;7419.85;7311.07;7268.65
3;7307.18;7226.87;7191.36;7396.75;7329.02;7292.66
4;7355.98;7223.45;7185.33;7313.42;7325.8;7314.73
5;7407.73;7228.27;7187.85;7298.7;7348.68;7336.83
6;7459.0;7231.58;7185.99;7265.4;7360.16;7357.81
7;7518.41;7235.73;7190.84;7178.55;7443.64;7378.12
8;7510.62;7241.49;7194.65;7186.79;7501.27;7398.4
9;7538.11;7247.42;7194.44;7198.45;7522.56;7417.3
10;7541.31;7254.24;7190.87;7133.73;7561.5;7436.19
11;7549.11;7261.24;7190.65;7173.51;7583.02;7455.24
12;7575.34;7268.01;7186.89;7205.95;7620.78;7473.28
13;7638.06;7274.01;7183.99;7221.66;7678.14;7490.72
14;7702.15;7282.25;7182.11;7266.37;7760.11;7507.35
15;7695.1;7293.22;7178.26;7330.98;7811.57;7523.11
16;7735.4;7319.52;7174.29;7425.69;7913.96;7537.86
17;7725.22;7353.77;7169.03;7299.09;7910.45;7551.85
18;7758.19;7390.8;7165.29;7267.29;7995.02;7564.93
19;7789.2;7414.52;7165.35;7288.44;8043.36;7577.15
20;7847.84;7446.61;7161.97;7308.65;8066.34;7588.7
21;7868.44;7462.06;7160.3;7386.25;8112.35;7598.95
22;7910.92;7549.52;7159.73;7496.68;8102.74;7608.64
23;7898.83;7634.82;7157.33;7524.84;8126.73;7617.11
24;7932.34;7722.99;7164.19;7562.53;8133.89;7624.52
25;7954.35;7776.9;7162.71;7476.35;8137.35;7631.52
26;7995.77;7837.32;7163.62;7492.69;8155.95;7638.11
27;7979.26;7871.32;7162.13;7568.5;8159.87;7644.31
28;8028.57;7890.11;7163.98;7566.57;8152.71;7649.89
29;8071.84;7910.04;7166.61;7589.01;8141.25;7654.52
30;8070.28;7919.64;7164.0;7567.39;8125.4;7659.34
