Hari Ke-,Tanggal,TCN-BiGRU (Rp),TCN (Rp),BiGRU (Rp)
1,2025-10-23,7187,7161,7186
2,2025-10-24,7197,7160,7176
3,2025-10-27,7236,7162,7166
4,2025-10-28,7265,7169,7152
5,2025-10-29,7282,7170,7141
6,2025-10-30,7295,7165,7140
7,2025-10-31,7318,7157,7146
8,2025-11-03,7332,7159,7150
9,2025-11-04,7358,7158,7152
10,2025-11-05,7374,7152,7149
11,2025-11-06,7388,7151,7146
12,2025-11-07,7404,7150,7144
13,2025-11-10,7420,7148,7141
14,2025-11-11,7437,7147,7138
15,2025-11-12,7454,7146,7135
16,2025-11-13,7470,7144,7132
17,2025-11-14,7486,7142,7131
18,2025-11-17,7501,7141,7129
19,2025-11-18,7517,7140,7127
20,2025-11-19,7533,7138,7125
21,2025-11-20,7549,7137,7123
22,2025-11-21,7566,7135,7121
23,2025-11-24,7583,7134,7119
24,2025-11-25,7600,7132,7117
25,2025-11-26,7617,7131,7115
26,2025-11-27,7634,7129,7113
27,2025-11-28,7651,7128,7111
28,2025-12-01,7668,7126,7109
29,2025-12-02,7685,7125,7107
30,2025-12-03,7701,7123,7105
