Hari Ke-,Tanggal,TCN-BiGRU (Rp),TCN (Rp),BiGRU (Rp),Informer CNN LSTM (Rp),Informer CNN (Rp),CNN (Rp),Informer (Rp),Informer_LSTM (Rp),LSTM (Rp),Hybrid BiLSTM CNN (Rp),BiLSTM (Rp),CNN BiLSTM (Rp)
1,2025-10-23,7187,7161,7186,7258.11,7216.81,7194.65,7331.0,7278.28,7253.22,7187.07,7195.86,7159.03
2,2025-10-24,7197,7160,7176,7274.31,7225.72,7190.1,7419.85,7311.07,7268.65,7203.95,7183.76,7160.4
3,2025-10-27,7236,7162,7166,7307.18,7226.87,7191.36,7396.75,7329.02,7292.66,7215.55,7171.46,7176.62
4,2025-10-28,7265,7169,7152,7355.98,7223.45,7185.33,7313.42,7325.8,7314.73,7232.14,7160.4,7189.11
5,2025-10-29,7282,7170,7141,7407.73,7228.27,7187.85,7298.7,7348.68,7336.83,7225.97,7150.01,7210.05
6,2025-10-30,7295,7165,7140,7459.0,7231.58,7185.99,7265.4,7360.16,7357.81,7229.47,7140.75,7220.55
7,2025-10-31,7318,7157,7146,7518.41,7235.73,7190.84,7178.55,7443.64,7378.12,7219.53,7130.52,7205.97
8,2025-11-03,7332,7159,7150,7510.62,7241.49,7194.65,7186.79,7501.27,7398.4,7202.67,7120.08,7197.84
9,2025-11-04,7358,7158,7152,7538.11,7247.42,7194.44,7198.45,7522.56,7417.3,7191.55,7109.2,7178.16
10,2025-11-05,7374,7152,7149,7541.31,7254.24,7190.87,7133.73,7561.5,7436.19,7167.69,7097.33,7161.42
11,2025-11-06,7388,7151,7146,7549.11,7261.24,7190.65,7173.51,7583.02,7455.24,7147.35,7085.9,7157.72
12,2025-11-07,7404,7150,7144,7575.34,7268.01,7186.89,7205.95,7620.78,7473.28,7127.14,7074.68,7157.57
13,2025-11-10,7420,7148,7141,7638.06,7274.01,7183.99,7221.66,7678.14,7490.72,7101.12,7063.95,7129.57
14,2025-11-11,7437,7147,7138,7702.15,7282.25,7182.11,7266.37,7760.11,7507.35,7087.63,7054.58,7110.46
15,2025-11-12,7454,7146,7135,7695.1,7293.22,7178.26,7330.98,7811.57,7523.11,7082.1,7044.84,7098.17
16,2025-11-13,7470,7144,7132,7735.4,7319.52,7174.29,7425.69,7913.96,7537.86,7082.17,7034.89,7089.14
17,2025-11-14,7486,7142,7131,7725.22,7353.77,7169.03,7299.09,7910.45,7551.85,7077.07,7024.19,7071.88
18,2025-11-17,7501,7141,7129,7758.19,7390.8,7165.29,7267.29,7995.02,7564.93,7075.26,7013.89,7057.27
19,2025-11-18,7517,7140,7127,7789.2,7414.52,7165.35,7288.44,8043.36,7577.15,7067.87,7003.19,7040.25
20,2025-11-19,7533,7138,7125,7847.84,7446.61,7161.97,7308.65,8066.34,7588.7,7054.58,6993.17,7032.54
21,2025-11-20,7549,7137,7123,7868.44,7462.06,7160.3,7386.25,8112.35,7598.95,7048.97,6984.1,7034.58
22,2025-11-21,7566,7135,7121,7910.92,7549.52,7159.73,7496.68,8102.74,7608.64,7041.67,6975.3,7024.72
23,2025-11-24,7583,7134,7119,7898.83,7634.82,7157.33,7524.84,8126.73,7617.11,7030.42,6967.39,7005.37
24,2025-11-25,7600,7132,7117,7932.34,7722.99,7164.19,7562.53,8133.89,7624.52,7023.2,6960.47,6986.11
25,2025-11-26,7617,7131,7115,7954.35,7776.9,7162.71,7476.35,8137.35,7631.52,7027.29,6953.69,6975.42
26,2025-11-27,7634,7129,7113,7995.77,7837.32,7163.62,7492.69,8155.95,7638.11,7027.42,6945.81,6969.2
27,2025-11-28,7651,7128,7111,7979.26,7871.32,7162.13,7568.5,8159.87,7644.31,7029.11,6938.09,6965.34
28,2025-12-01,7668,7126,7109,8028.57,7890.11,7163.98,7566.57,8152.71,7649.89,7023.48,6930.06,6958.81
29,2025-12-02,7685,7125,7107,8071.84,7910.04,7166.61,7589.01,8141.25,7654.52,7012.41,6922.4,6948.33
30,2025-12-03,7701,7123,7105,8070.28,7919.64,7164.0,7567.39,8125.4,7659.34,7007.06,6915.28,6937.48
