Model,Parameter,Nilai_Parameter,MAPE (%),Time (sec)
TCN-BiGRU,Filter,32.0,1.442796875,22.334166666666665
TCN-BiGRU,Filter,64.0,1.3860135416666666,33.87416666666667
TCN-BiGRU,Kernel,2.0,1.4517052083333333,25.318125
TCN-BiGRU,Kernel,3.0,1.3771052083333333,30.890208333333334
TCN-BiGRU,GRU Units,32.0,1.4564083333333333,24.974999999999998
TCN-BiGRU,GRU Units,64.0,1.3724020833333332,31.233333333333334
TCN-BiGRU,Batch Size,8.0,1.4356875,30.18375
TCN-BiGRU,Batch Size,16.0,1.3931229166666668,26.024583333333336
TCN-BiGRU,LR,0.001,1.4337406250000002,29.822708333333335
TCN-BiGRU,LR,0.0015,1.3950697916666668,26.385625
TCN-BiGRU,Dropout,0.1,1.442796875,22.334166666666665
TCN-BiGRU,Dropout,0.2,1.3860135416666666,33.87416666666667
TCN,Filter,32.0,1.2558708333333335,7.763125
TCN,Filter,64.0,1.2298020833333334,11.593125
TCN,Kernel,2.0,1.2367270833333335,9.3825
TCN,Kernel,3.0,1.2489458333333332,9.97375
TCN,Batch Size,8.0,1.25181875,9.945625
TCN,Batch Size,16.0,1.2338541666666667,9.410625
TCN,LR,0.001,1.2435895833333335,9.63625
TCN,LR,0.0015,1.2420833333333332,9.72
TCN,Dropout,0.1,1.2558708333333335,7.763125
TCN,Dropout,0.2,1.2298020833333334,11.593125
BiGRU,GRU Units,32.0,1.2058250000000001,18.75875
BiGRU,GRU Units,64.0,1.2084166666666667,18.69333333333333
BiGRU,Batch Size,8.0,1.2041333333333333,22.348333333333333
BiGRU,Batch Size,16.0,1.2101083333333333,15.10375
BiGRU,LR,0.001,1.2050416666666666,18.5675
BiGRU,LR,0.0015,1.2092,18.884583333333335
BiGRU,Dropout,0.1,1.2058250000000001,18.75875
BiGRU,Dropout,0.2,1.2084166666666667,18.69333333333333
